Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
0,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
719000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
800000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
800000,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
0,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
0,0000007F,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
0,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
801000,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
801000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
896000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
900000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
900000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
919000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
999000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
0,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
0,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
0,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
0,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
1000,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
1000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
84000,000005E2,false,Rx,0,8,4E,0E,11,0D,09,1A,15,CF,
98000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
100000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
100000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
120000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
123000,000005E2,false,Rx,0,8,4E,0E,11,0D,09,1A,15,CF,
164000,000005E2,false,Rx,0,8,4E,0E,11,0D,09,1A,15,CF,
200000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
200000,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
200000,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
201000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
201000,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
201000,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
202000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
298000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
300000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
300000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
320000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
399000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
399000,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
400000,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
0,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
0,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
400000,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
401000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
498000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
500000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
500000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
520000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
599000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
600000,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
600000,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
600000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
600000,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
601000,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
601000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
699000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
700000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
700000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
720000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
800000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
800000,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
800000,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
801000,0000007F,false,Rx,0,8,00,00,00,00,00,00,00,00,
801000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
801000,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
801000,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
801000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
900000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
900000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
901000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
920000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
999000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
0,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
0,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
