Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
790000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
791000,00000123,false,Rx,0,8,FF,00,00,C0,FF,FF,FF,FF,
850000,000001E5,false,Rx,0,8,FF,FC,1F,0F,F3,0F,FF,FF,
860000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
868000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
888000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
889000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
891000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
895000,00000485,false,Rx,0,8,10,45,03,4B,00,61,00,72,
901000,00000484,false,Rx,0,8,30,00,05,00,00,00,00,00,
910000,00000485,false,Rx,0,8,21,00,69,00,62,00,75,00,
920000,00000485,false,Rx,0,8,22,20,00,2D,00,20,00,45,
922000,00000506,false,Rx,0,8,FF,FF,FF,FF,FF,FF,0F,00,
930000,00000485,false,Rx,0,8,23,00,78,00,74,00,65,00,
931000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
940000,00000485,false,Rx,0,8,24,6E,00,64,00,65,00,64,
941000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
950000,00000485,false,Rx,0,8,25,00,20,00,49,00,6E,00,
951000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
959000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
960000,00000485,false,Rx,0,8,26,73,00,74,00,72,00,75,
967000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
970000,00000485,false,Rx,0,8,27,00,6D,00,65,00,6E,00,
980000,00000485,false,Rx,0,8,28,74,00,61,00,6C,00,20,
981000,00000115,false,Rx,0,8,08,00,00,00,00,00,00,00,
990000,00000485,false,Rx,0,8,29,00,4D,00,69,00,78,00,
991000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
992000,00000123,false,Rx,0,8,FF,00,00,C0,FF,FF,FF,FF,
50000,000001E5,false,Rx,0,8,FF,FC,1F,0F,F3,0F,FF,FF,
60000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
61000,0000012F,false,Rx,0,8,52,00,2E,1B,09,07,04,CF,
68000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
87000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
88000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
90000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
100000,0000012F,false,Rx,0,8,52,00,2E,1B,09,07,04,CF,
119000,00000506,false,Rx,0,8,FF,FF,FF,FF,FF,FF,0F,00,
130000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
139000,0000012F,false,Rx,0,8,52,00,2E,1B,09,07,04,CF,
141000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
150000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
159000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
168000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
180000,00000115,false,Rx,0,8,08,00,00,00,00,00,00,00,
189000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
191000,00000123,false,Rx,0,8,FF,00,00,C0,FF,FF,FF,FF,
250000,000001E5,false,Rx,0,8,FF,FC,1F,0F,F3,0F,FF,FF,
260000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
267000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
288000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
289000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
290000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
319000,00000506,false,Rx,0,8,FF,FF,FF,FF,FF,FF,0F,00,
330000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
340000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
350000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
359000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
367000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
379000,00000115,false,Rx,0,8,08,00,00,00,00,00,00,00,
390000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
391000,00000123,false,Rx,0,8,FF,00,00,C0,FF,FF,FF,FF,
450000,000001E5,false,Rx,0,8,FF,FC,1F,0F,F3,0F,FF,FF,
460000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
467000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
488000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
489000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
490000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
510000,0000012F,false,Rx,0,8,52,00,2E,1B,09,07,04,CF,
520000,00000506,false,Rx,0,8,FF,FF,FF,FF,FF,FF,0F,00,
530000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
540000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
550000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
559000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
567000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
580000,00000115,false,Rx,0,8,08,00,00,00,00,00,00,00,
590000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
591000,00000123,false,Rx,0,8,FF,00,00,C0,FF,FF,FF,FF,
620000,00000100,false,Rx,0,8,62,00,00,04,00,00,00,00,
650000,000001E5,false,Rx,0,8,FF,FC,1F,0F,F3,0F,FF,FF,
660000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
668000,00000169,false,Rx,0,8,00,00,00,00,00,00,00,00,
670000,00000197,false,Rx,0,8,0F,23,44,00,00,00,00,00,
688000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
689000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
690000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
720000,00000506,false,Rx,0,8,FF,FF,FF,FF,FF,FF,0F,00,
730000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
739000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
750000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
759000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
767000,000001EB,false,Rx,0,8,00,00,00,00,00,00,00,00,
780000,00000115,false,Rx,0,8,08,00,00,00,00,00,00,00,
790000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
