Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
719000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
722000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
729000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
739000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
769000,00000115,false,Rx,0,8,08,00,00,2D,00,00,00,00,
779000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
780000,00000123,false,Rx,0,8,00,00,00,00,00,00,00,00,
791000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
822000,00000169,false,Rx,0,8,40,00,00,00,00,00,00,00,
822000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
824000,000001EB,false,Rx,0,8,01,00,00,00,00,00,00,00,
839000,000001E5,false,Rx,0,8,00,00,00,00,00,00,00,00,
889000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
891000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
909000,00000506,false,Rx,0,8,00,00,02,3B,00,00,01,00,
919000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
921000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
929000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
939000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
969000,00000115,false,Rx,0,8,08,00,00,2D,00,00,00,00,
978000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
980000,00000123,false,Rx,0,8,00,00,00,00,00,00,00,00,
981000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
22000,00000169,false,Rx,0,8,40,00,00,00,00,00,00,00,
23000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
24000,000001EB,false,Rx,0,8,01,00,00,00,00,00,00,00,
39000,000001E5,false,Rx,0,8,00,00,00,00,00,00,00,00,
79000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
91000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
99000,0000012F,false,Rx,0,8,52,13,2F,0C,09,07,03,CF,
109000,00000506,false,Rx,0,8,00,00,02,3B,00,00,01,00,
119000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
121000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
129000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
139000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
168000,00000115,false,Rx,0,8,08,00,00,2D,00,00,00,00,
171000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
178000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
180000,00000123,false,Rx,0,8,00,00,00,00,00,00,00,00,
222000,00000169,false,Rx,0,8,40,00,00,00,00,00,00,00,
223000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
224000,000001EB,false,Rx,0,8,01,00,00,00,00,00,00,00,
239000,000001E5,false,Rx,0,8,00,00,00,00,00,00,00,00,
259000,00000197,false,Rx,0,8,0F,2F,44,00,00,00,00,00,
269000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
292000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
309000,00000506,false,Rx,0,8,00,00,02,3B,00,00,01,00,
319000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
322000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
329000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
339000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
363000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
369000,00000115,false,Rx,0,8,08,00,00,2D,00,00,00,00,
379000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
380000,00000123,false,Rx,0,8,00,00,00,00,00,00,00,00,
421000,00000169,false,Rx,0,8,40,00,00,00,00,00,00,00,
422000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
424000,000001EB,false,Rx,0,8,01,00,00,00,00,00,00,00,
439000,000001E5,false,Rx,0,8,00,00,00,00,00,00,00,00,
459000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
492000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
508000,00000506,false,Rx,0,8,00,00,02,3B,00,00,01,00,
519000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
522000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
529000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
539000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
552000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
568000,00000115,false,Rx,0,8,08,00,00,2D,00,00,00,00,
578000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
580000,00000123,false,Rx,0,8,00,00,00,00,00,00,00,00,
581000,0000012F,false,Rx,0,8,52,13,2F,0D,09,07,03,CF,
619000,0000012F,false,Rx,0,8,52,13,2F,0D,09,07,03,CF,
622000,00000169,false,Rx,0,8,40,00,00,00,00,00,00,00,
623000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
624000,000001EB,false,Rx,0,8,01,00,00,00,00,00,00,00,
639000,000001E5,false,Rx,0,8,00,00,00,00,00,00,00,00,
649000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
658000,0000012F,false,Rx,0,8,52,13,2F,0D,09,07,03,CF,
691000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
709000,00000506,false,Rx,0,8,00,00,02,3B,00,00,01,00,
719000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
722000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
729000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
739000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
741000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
769000,00000115,false,Rx,0,8,08,00,00,2D,00,00,00,00,
778000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
779000,00000123,false,Rx,0,8,00,00,00,00,00,00,00,00,
822000,00000169,false,Rx,0,8,40,00,00,00,00,00,00,00,
823000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
824000,000001EB,false,Rx,0,8,01,00,00,00,00,00,00,00,
839000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
840000,000001E5,false,Rx,0,8,00,00,00,00,00,00,00,00,
891000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
908000,00000506,false,Rx,0,8,00,00,02,3B,00,00,01,00,
918000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
921000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
928000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
931000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
938000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
968000,00000115,false,Rx,0,8,08,00,00,2D,00,00,00,00,
979000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
980000,00000123,false,Rx,0,8,00,00,00,00,00,00,00,00,
21000,00000169,false,Rx,0,8,40,00,00,00,00,00,00,00,
23000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
24000,000001EB,false,Rx,0,8,01,00,00,00,00,00,00,00,
28000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
39000,000001E5,false,Rx,0,8,00,00,00,00,00,00,00,00,
91000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
